C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\images\ImageGallery.tsx: line 69, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\images\ImageGallery.tsx: line 88, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\invitations\InvitationDialog.tsx: line 53, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\performance\LazyComponentLoader.tsx: line 100, col 9, Warning - 'defaultErrorFallback' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\premium\PremiumFeatures.tsx: line 96, col 7, Warning - 'planHierarchy' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleImageGallery.tsx: line 95, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleImageGallery.tsx: line 158, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CouplePhotoSection.tsx: line 89, col 11, Warning - 'partnerColor' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 102, col 3, Warning - 'onSuperLike' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 103, col 3, Warning - 'onMessage' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 105, col 3, Warning - 'showActions' is assigned a value but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 106, col 3, Warning - 'showInviteButton' is assigned a value but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 109, col 11, Warning - 'getUserOnlineStatus' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 109, col 32, Warning - 'getLastSeenTime' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 122, col 9, Warning - 'theme' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\CoupleProfileCard.tsx: line 123, col 9, Warning - 'relationshipDisplayName' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\ImageUpload.tsx: line 65, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\ImageUpload.tsx: line 117, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\MainProfileCard.tsx: line 54, col 3, Warning - 'showQuickActions' is assigned a value but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\components\profile\MainProfileCard.tsx: line 65, col 9, Warning - 'isOnline' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
